Ser No,0 to 9,S/B,R/G
1100052826,1,S,G
1100052827,6,B,R
1100052828,6,B,R
1100052829,8,B,R
1100052830,0,S,R/V
1100052831,1,S,G
1100052832,7,B,G
1100052833,6,B,R
1100052834,9,B,G
1100052835,7,B,G
1100052836,5,B,G/V
1100052837,9,B,G
1100052838,9,B,G
1100052839,4,S,R
1100052840,8,B,R
1100052841,5,B,G/V
1100052842,1,S,G
1100052843,4,S,R
1100052844,2,S,R
1100052845,5,B,G/V
1100052846,7,B,G
1100052847,3,S,G
1100052848,6,B,R
1100052849,4,S,R
1100052850,6,B,R
1100052851,3,S,G
1100052852,4,S,R
1100052853,1,S,G
1100052854,7,B,G
1100052855,7,B,G
1100052856,6,B,R
1100052857,5,B,G/V
1100052858,5,B,G/V
1100052859,3,S,G
1100052860,2,S,R
1100052861,0,S,R/V
1100052862,4,S,R
1100052863,0,S,R/V
1100052864,1,S,G
1100052865,3,S,G
1100052866,2,S,R
1100052867,9,B,G
1100052868,4,S,R
1100052869,6,B,R
1100052870,4,S,R
1100052871,0,S,R/V
1100052872,2,S,R
1100052873,8,B,R
1100052874,0,S,R/V
1100052875,7,B,G
1100052876,3,S,G
1100052877,0,S,R/V
1100052878,0,S,R/V
1100052879,6,B,R
1100052880,7,B,G
2100050001,7,B,G
2100050002,5,B,G/V
2100050003,2,S,R
2100050004,7,B,G
2100050005,5,B,G/V
2100050006,1,S,G
2100050007,9,B,G
2100050008,0,S,R/V
2100050009,7,B,G
2100050010,2,S,R
2100050011,6,B,R
2100050012,0,S,R/V
2100050013,8,B,R
2100050014,8,B,R
2100050015,9,B,G
2100050016,2,S,R
2100050017,8,B,R
2100050018,8,B,R
2100050019,3,S,G
2100050020,6,B,R
2100050021,5,B,G/V
2100050022,7,B,G
2100050023,3,S,G
2100050024,2,S,R
2100050025,9,B,G
2100050026,6,B,R
2100050027,1,S,G
2100050028,4,S,R
2100050029,4,S,R
2100050030,5,B,G/V
2100050031,3,S,G
2100050032,4,S,R
2100050033,1,S,G
2100050034,1,S,G
2100050035,3,S,G
2100050036,8,B,R
2100050037,0,S,R/V
2100050038,4,S,R
2100050039,3,S,G
2100050040,4,S,R
2100050041,3,S,G
2100050042,4,S,R
2100050043,5,B,G/V
2100050044,8,B,R
2100050045,0,S,R/V
2100050046,2,S,R
2100050047,8,B,R
2100050048,5,B,G/V
2100050049,7,B,G
2100050050,5,B,G/V
2100050051,4,S,R
2100050052,8,B,R
2100050053,4,S,R
2100050054,0,S,R/V
2100050055,4,S,R
2100050056,5,B,G/V
2100050057,2,S,R
2100050058,4,S,R
2100050059,5,B,G/V
2100050060,6,B,R
2100050061,3,S,G
2100050062,0,S,R/V
2100050063,1,S,G
2100050064,7,B,G
2100050065,5,B,G/V
2100050066,6,B,R
2100050067,0,S,R/V
2100050068,6,B,R
2100050069,8,B,R
2100050070,9,B,G
2100050071,6,B,R
2100050072,6,B,R
2100050073,1,S,G
2100050074,9,B,G
2100050075,0,S,R/V
2100050076,7,B,G
2100050077,2,S,R
2100050078,8,B,R
2100050079,3,S,G
2100050080,7,B,G
2100050081,5,B,G/V
2100050082,6,B,R
2100050083,5,B,G/V
2100050084,2,S,R
2100050085,9,B,G
2100050086,0,S,R/V
2100050087,5,B,G/V
2100050088,3,S,G
2100050089,4,S,R
2100050090,6,B,R
2100050091,8,B,R
2100050092,3,S,G
2100050093,9,B,G
2100050094,6,B,R
2100050095,3,S,G
2100050096,7,B,G
2100050097,3,S,G
2100050098,8,B,R
2100050099,5,B,G/V
2100050100,5,B,G/V
2100050101,9,B,G
2100050102,5,B,G/V
2100050103,4,S,R
2100050104,8,B,R
2100050105,1,S,G
2100050106,0,S,R/V
2100050107,4,S,R
2100050108,4,S,R
2100050109,1,S,G
2100050110,0,S,R/V
2100050111,9,B,G
2100050112,0,S,R/V
2100050113,0,S,R/V
2100050114,2,S,R
2100050115,4,S,R
2100050116,5,B,G/V
2100050117,6,B,R
2100050118,6,B,R
2100050119,4,S,R
2100050120,2,S,R
2100050121,4,S,R
2100050122,7,B,G
2100050123,9,B,G
2100050124,9,B,G
2100050125,8,B,R
2100050126,6,B,R
2100050127,3,S,G
2100050128,5,B,G/V
2100050129,1,S,G
2100050130,2,S,R
2100050131,2,S,R
2100050132,5,B,G/V
2100050133,8,B,R
2100050134,8,B,R
2100050135,3,S,G
2100050136,8,B,R
2100050137,2,S,R
2100050138,4,S,R
2100050139,4,S,R
2100050140,2,S,R
2100050141,5,B,G/V
2100050142,8,B,R
2100050143,3,S,G
2100050144,7,B,G
2100050145,6,B,R
2100050146,9,B,G
2100050147,1,S,G
2100050148,3,S,G
2100050149,8,B,R
2100050150,5,B,G/V
2100050151,7,B,G
2100050152,9,B,G
2100050153,2,S,R
2100050154,7,B,G
2100050155,0,S,R/V
2100050156,6,B,R
2100050157,1,S,G
2100050158,3,S,G
2100050159,6,B,R
2100050160,5,B,G/V
2100050161,8,B,R
2100050162,5,B,G/V
2100050163,9,B,G
2100050164,2,S,R
2100050165,5,B,G/V
2100050166,6,B,R
2100050167,2,S,R
2100050168,1,S,G
2100050169,5,B,G/V
2100050170,3,S,G
2100050171,8,B,R
2100050172,9,B,G
2100050173,0,S,R/V
2100050174,1,S,G
2100050175,6,B,R
2100050176,7,B,G
2100050177,6,B,R
2100050178,2,S,R
2100050179,8,B,R
2100050180,5,B,G/V
2100050181,8,B,R
2100050182,1,S,G
2100050183,0,S,R/V
2100050184,3,S,G
2100050185,8,B,R
2100050186,8,B,R
2100050187,6,B,R
2100050188,2,S,R
2100050189,4,S,R
2100050190,2,S,R
2100050191,2,S,R
2100050192,9,B,G
2100050193,5,B,G/V
2100050194,1,S,G
2100050195,4,S,R
2100050196,7,B,G
2100050197,1,S,G
2100050198,2,S,R
2100050199,7,B,G
2100050200,5,B,G/V
2100050201,8,B,R
2100050202,3,S,G
2100050203,4,S,R
2100050204,0,S,R/V
2100050205,1,S,G
2100050206,4,S,R
2100050207,7,B,G
2100050208,4,S,R
2100050209,6,B,R
2100050210,3,S,G
2100050211,3,S,G
2100050212,2,S,R
2100050213,4,S,R
2100050214,4,S,R
2100050215,0,S,R/V
2100050216,9,B,G
2100050217,4,S,R
2100050218,8,B,R
2100050219,7,B,G
2100050220,6,B,R
2100050221,4,S,R
2100050222,5,B,G/V
2100050223,7,B,G
2100050224,4,S,R
2100050225,6,B,R
2100050226,2,S,R
2100050227,5,B,G/V
2100050228,5,B,G/V
2100050229,6,B,R
2100050230,2,S,R
2100050231,4,S,R
2100050232,6,B,R
2100050233,4,S,R
2100050234,8,B,R
2100050235,1,S,G
2100050236,5,B,G/V
2100050237,5,B,G/V
2100050238,4,S,R
2100050239,7,B,G
2100050240,7,B,G
2100050241,5,B,G/V
2100050242,9,B,G
2100050243,8,B,R
2100050244,6,B,R
2100050245,5,B,G/V
2100050246,6,B,R
2100050247,4,S,R
2100050248,7,B,G
2100050249,6,B,R
2100050250,4,S,R
2100050251,3,S,G
2100050252,2,S,R
2100050253,6,B,R
2100050254,1,S,G
2100050255,3,S,G
2100050256,4,S,R
2100050257,5,B,G/V
2100050258,5,B,G/V
2100050259,0,S,R/V
2100050260,1,S,G
2100050261,0,S,R/V
2100050262,0,S,R/V
2100050263,8,B,R
2100050264,7,B,G
2100050265,8,B,R
2100050266,8,B,R
2100050267,5,B,G/V
2100050268,4,S,R
2100050269,5,B,G/V
2100050270,1,S,G
2100050271,2,S,R
2100050272,7,B,G
2100050273,6,B,R
2100050274,9,B,G
2100050275,5,B,G/V
2100050276,7,B,G
2100050277,5,B,G/V
2100050278,5,B,G/V
2100050279,2,S,R
2100050280,1,S,G
2100050281,9,B,G
2100050282,6,B,R
2100050283,1,S,G
2100050284,9,B,G
2100050285,3,S,G
2100050286,0,S,R/V
2100050287,2,S,R
2100050288,3,S,G
2100050289,8,B,R
2100050290,7,B,G
2100050291,5,B,G/V
2100050292,1,S,G
2100050293,4,S,R
2100050294,9,B,G
2100050295,6,B,R
2100050296,4,S,R
2100050297,0,S,R/V
2100050298,7,B,G
2100050299,4,S,R
2100050300,2,S,R
2100050301,2,S,R
2100050302,1,S,G
2100050303,8,B,R
2100050304,7,B,G
2100050305,8,B,R
2100050306,7,B,G
2100050307,9,B,G
2100050308,4,S,R
2100050309,6,B,R
2100050310,7,B,G
2100050311,6,B,R
2100050312,9,B,G
2100050313,8,B,R
2100050314,2,S,R
2100050315,3,S,G
2100050316,9,B,G
2100050317,4,S,R
2100050318,2,S,R
2100050319,4,S,R
2100050320,6,B,R
2100050321,9,B,G
2100050322,6,B,R
2100050323,3,S,G
2100050324,4,S,R
2100050325,4,S,R
2100050326,1,S,G
2100050327,9,B,G
2100050328,8,B,R
2100050329,6,B,R
2100050330,0,S,R/V
2100050331,0,S,R/V
2100050332,1,S,G
2100050333,6,B,R
2100050334,9,B,G
2100050335,0,S,R/V
2100050336,4,S,R
2100050337,9,B,G
2100050338,9,B,G
2100050339,8,B,R
2100050340,2,S,R
2100050341,6,B,R
2100050342,4,S,R
2100050343,8,B,R
2100050344,7,B,G
2100050345,6,B,R
2100050346,4,S,R
2100050347,1,S,G
2100050348,7,B,G
2100050349,1,S,G
2100050350,7,B,G
2100050351,7,B,G
2100050352,9,B,G
2100050353,8,B,R
2100050354,1,S,G
2100050355,9,B,G
2100050356,5,B,G/V
2100050357,4,S,R
2100050358,3,S,G
2100050359,0,S,R/V
2100050360,9,B,G
2100050361,3,S,G
2100050362,8,B,R
2100050363,2,S,R
2100050364,7,B,G
2100050365,8,B,R
2100050366,2,S,R
2100050367,7,B,G
2100050368,6,B,R
2100050369,6,B,R
2100050370,3,S,G
2100050371,3,S,G
2100050372,0,S,R/V
2100050373,1,S,G
2100050374,9,B,G
2100050375,5,B,G/V
2100050376,0,S,R/V
2100050377,9,B,G
2100050378,6,B,R
2100050379,2,S,R
2100050380,4,S,R
2100050381,1,S,G
2100050382,2,S,R
2100050383,5,B,G/V
2100050384,2,S,R
2100050385,9,B,G
2100050386,0,S,R/V
2100050387,3,S,G
2100050388,4,S,R
2100050389,5,B,G/V
2100050390,8,B,R
2100050391,5,B,G/V
2100050392,5,B,G/V
2100050393,5,B,G/V
2100050394,1,S,G
2100050395,1,S,G
2100050396,5,B,G/V
2100050397,6,B,R
2100050398,5,B,G/V
2100050399,8,B,R
2100050400,4,S,R
2100050401,3,S,G
2100050402,7,B,G
2100050403,0,S,R/V
2100050404,2,S,R
2100050405,7,B,G
2100050406,6,B,R
2100050407,8,B,R
2100050408,9,B,G
2100050409,1,S,G
2100050410,2,S,R
2100050411,7,B,G
2100050412,6,B,R
2100050413,6,B,R
2100050414,9,B,G
2100050415,2,S,R
2100050416,2,S,R
2100050417,1,S,G
2100050418,2,S,R
2100050419,1,S,G
2100050420,5,B,G/V
2100050421,5,B,G/V
2100050422,4,S,R
2100050423,8,B,R
2100050424,9,B,G
2100050425,6,B,R
2100050426,0,S,R/V
2100050427,6,B,R
2100050428,1,S,G
2100050429,9,B,G
2100050430,3,S,G
2100050431,1,S,G
2100050432,4,S,R
2100050433,1,S,G
2100050434,1,S,G
2100050435,1,S,G
2100050436,3,S,G
2100050437,0,S,R/V
2100050438,5,B,G/V
2100050439,2,S,R
2100050440,7,B,G
2100050441,8,B,R
2100050442,0,S,R/V
2100050443,6,B,R
2100050444,5,B,G/V
2100050445,3,S,G
2100050446,4,S,R
2100050447,5,B,G/V
2100050448,9,B,G
2100050449,4,S,R
2100050450,2,S,R
2100050451,0,S,R/V
2100050452,9,B,G
2100050453,7,B,G
2100050454,4,S,R
2100050455,6,B,R
2100050456,7,B,G
2100050457,1,S,G
2100050458,8,B,R
2100050459,0,S,R/V
2100050460,8,B,R
2100050461,5,B,G/V
2100050462,6,B,R
2100050463,1,S,G
2100050464,8,B,R
2100050465,4,S,R
2100050466,6,B,R
2100050467,9,B,G
2100050468,1,S,G
2100050469,2,S,R
2100050470,1,S,G
2100050471,5,B,G/V
2100050472,9,B,G
2100050473,5,B,G/V
2100050474,0,S,R/V
2100050475,3,S,G
2100050476,3,S,G
2100050477,2,S,R
2100050478,7,B,G
2100050479,7,B,G
2100050480,4,S,R
2100050481,5,B,G/V
2100050482,6,B,R
2100050483,4,S,R
2100050484,5,B,G/V
2100050485,0,S,R/V
2100050486,2,S,R
2100050487,0,S,R/V
2100050488,3,S,G
2100050489,0,S,R/V
2100050490,3,S,G
2100050491,8,B,R
2100050492,2,S,R
2100050493,2,S,R
2100050494,0,S,R/V
2100050495,0,S,R/V
2100050496,4,S,R
2100050497,9,B,G
2100050498,0,S,R/V
2100050499,6,B,R
2100050500,8,B,R
2100050501,9,B,G
2100050502,9,B,G
2100050503,7,B,G
2100050504,8,B,R
2100050505,1,S,G
2100050506,2,S,R
2100050507,3,S,G
2100050508,3,S,G
2100050509,5,B,G/V
2100050510,3,S,G
2100050511,6,B,R
2100050512,2,S,R
2100050513,5,B,G/V
2100050514,9,B,G
2100050515,2,S,R
2100050516,0,S,R/V
2100050517,4,S,R
2100050518,0,S,R/V
2100050519,3,S,G
2100050520,3,S,G
2100050521,2,S,R
2100050522,4,S,R
2100050523,1,S,G
2100050524,1,S,G
2100050525,5,B,G/V
2100050526,0,S,R/V
2100050527,9,B,G
2100050528,5,B,G/V
2100050529,3,S,G
2100050530,7,B,G
2100050531,1,S,G
2100050532,8,B,R
2100050533,2,S,R
2100050534,1,S,G
2100050535,0,S,R/V
2100050536,7,B,G
2100050537,9,B,G
2100050538,7,B,G
2100050539,8,B,R
2100050540,0,S,R/V
2100050541,2,S,R
2100050542,8,B,R
2100050543,1,S,G
2100050544,9,B,G
2100050545,3,S,G
2100050546,9,B,G
2100050547,5,B,G/V
2100050548,2,S,R
2100050549,4,S,R
2100050550,6,B,R
2100050551,8,B,R
2100050552,1,S,G
2100050553,7,B,G
2100050554,1,S,G
2100050555,8,B,R
2100050556,5,B,G/V
2100050557,7,B,G
2100050558,0,S,R/V
2100050559,5,B,G/V
2100050560,4,S,R
2100050561,2,S,R
2100050562,5,B,G/V
2100050563,4,S,R
2100050564,7,B,G
2100050565,1,S,G
2100050566,7,B,G
2100050567,5,B,G/V
2100050568,8,B,R
2100050569,0,S,R/V
2100050570,7,B,G
2100050571,0,S,R/V
2100050572,6,B,R
2100050573,7,B,G
2100050574,3,S,G
2100050575,1,S,G
2100050576,9,B,G
2100050577,8,B,R
2100050578,4,S,R
2100050579,6,B,R
2100050580,3,S,G
2100050581,4,S,R
2100050582,3,S,G
2100050583,5,B,G/V
2100050584,0,S,R/V
2100050585,2,S,R
2100050586,4,S,R
2100050587,4,S,R
2100050588,5,B,G/V
2100050589,4,S,R
2100050590,0,S,R/V
2100050591,9,B,G
2100050592,7,B,G
2100050593,8,B,R
2100050594,4,S,R
2100050595,8,B,R
2100050596,1,S,G
2100050597,5,B,G/V
2100050598,4,S,R
2100050599,0,S,R/V
2100050600,3,S,G
2100050601,7,B,G
2100050602,5,B,G/V
2100050603,7,B,G
2100050604,2,S,R
2100050605,3,S,G
2100050606,3,S,G
2100050607,9,B,G
2100050608,6,B,R
2100050609,9,B,G
2100050610,6,B,R
2100050611,6,B,R
2100050612,5,B,G/V
2100050613,3,S,G
2100050614,0,S,R/V
2100050615,4,S,R
2100050616,3,S,G
2100050617,2,S,R
2100050618,7,B,G
2100050619,0,S,R/V
2100050620,4,S,R
2100050621,4,S,R
2100050622,3,S,G
2100050623,0,S,R/V
2100050624,6,B,R
2100050625,5,B,G/V
2100050626,0,S,R/V
2100050627,5,B,G/V
2100050628,4,S,R
2100050629,7,B,G
2100050630,3,S,G
2100050631,0,S,R/V
2100050632,0,S,R/V
2100050633,6,B,R
2100050634,4,S,R
2100050635,0,S,R/V
2100050636,4,S,R
2100050637,6,B,R
2100050638,1,S,G
2100050639,7,B,G
2100050640,3,S,G
2100050641,9,B,G
2100050642,1,S,G
2100050643,2,S,R
2100050644,9,B,G
2100050645,7,B,G
2100050646,8,B,R
2100050647,3,S,G
2100050648,0,S,R/V
2100050649,1,S,G
2100050650,3,S,G
2100050651,0,S,R/V
2100050652,2,S,R
2100050653,9,B,G
2100050654,9,B,G
2100050655,0,S,R/V
2100050656,9,B,G
2100050657,3,S,G
2100050658,0,S,R/V
2100050659,1,S,G
2100050660,7,B,G
2100050661,5,B,G/V
2100050662,3,S,G
2100050663,2,S,R
2100050664,2,S,R
2100050665,5,B,G/V
2100050666,8,B,R
2100050667,2,S,R
2100050668,3,S,G
2100050669,0,S,R/V
2100050670,8,B,R
2100050671,2,S,R
2100050672,6,B,R
2100050673,6,B,R
2100050674,0,S,R/V
2100050675,0,S,R/V
2100050676,2,S,R
2100050677,4,S,R
2100050678,7,B,G
2100050679,2,S,R
2100050680,0,S,R/V
2100050681,1,S,G
2100050682,1,S,G
2100050683,3,S,G
2100050684,0,S,R/V
2100050685,2,S,R
2100050686,5,B,G/V
2100050687,9,B,G
2100050688,8,B,R
2100050689,3,S,G
2100050690,6,B,R
2100050691,8,B,R
2100050692,1,S,G
2100050693,8,B,R
2100050694,5,B,G/V
2100050695,1,S,G
2100050696,4,S,R
2100050697,8,B,R
2100050698,9,B,G
2100050699,6,B,R
2100050700,6,B,R
2100050701,9,B,G
2100050702,3,S,G
2100050703,7,B,G
2100050704,9,B,G
2100050705,8,B,R
2100050706,9,B,G
2100050707,3,S,G
2100050708,3,S,G
2100050709,9,B,G
2100050710,5,B,G/V
2100050711,7,B,G
2100050712,6,B,R
2100050713,2,S,R
2100050714,6,B,R
2100050715,2,S,R
2100050716,2,S,R
2100050717,7,B,G
2100050718,9,B,G
2100050719,9,B,G
2100050720,4,S,R
2100050721,0,S,R/V
2100050722,2,S,R
2100050723,9,B,G
2100050724,4,S,R
2100050725,3,S,G
2100050726,5,B,G/V
2100050727,1,S,G
2100050728,8,B,R
2100050729,8,B,R
2100050730,7,B,G
2100050731,7,B,G
2100050732,2,S,R
2100050733,1,S,G
2100050734,6,B,R
2100050735,8,B,R
2100050736,6,B,R
2100050737,2,S,R
2100050738,1,S,G
2100050739,3,S,G
2100050740,9,B,G
2100050741,2,S,R
2100050742,2,S,R
2100050743,7,B,G
2100050744,8,B,R
2100050745,1,S,G
2100050746,5,B,G/V
2100050747,0,S,R/V
2100050748,8,B,R
2100050749,6,B,R
2100050750,3,S,G
2100050751,2,S,R
2100050752,4,S,R
2100050753,5,B,G/V
2100050754,4,S,R
2100050755,1,S,G
2100050756,1,S,G
2100050757,8,B,R
2100050758,7,B,G
2100050759,9,B,G
2100050760,8,B,R
2100050761,3,S,G
2100050762,1,S,G
2100050763,0,S,R/V
2100050764,1,S,G
2100050765,0,S,R/V
2100050766,7,B,G
2100050767,4,S,R
2100050768,8,B,R
2100050769,5,B,G/V
2100050770,9,B,G
2100050771,4,S,R
2100050772,7,B,G
2100050773,8,B,R
2100050774,6,B,R
2100050775,2,S,R
2100050776,6,B,R
2100050777,0,S,R/V
2100050778,3,S,G
2100050779,4,S,R
2100050780,9,B,G
2100050781,2,S,R
2100050782,1,S,G
2100050783,4,S,R
2100050784,3,S,G
2100050785,3,S,G
2100050786,4,S,R
2100050787,4,S,R
2100050788,6,B,R
2100050789,7,B,G
2100050790,7,B,G
2100050791,1,S,G
2100050792,6,B,R
2100050793,8,B,R
2100050794,1,S,G
2100050795,0,S,R/V
2100050796,9,B,G
2100050797,4,S,R
2100050798,6,B,R
2100050799,5,B,G/V
2100050800,3,S,G
2100050801,4,S,R
2100050802,4,S,R
2100050803,2,S,R
2100050804,7,B,G
2100050805,5,B,G/V
2100050806,9,B,G
2100050807,0,S,R/V
2100050808,9,B,G
2100050809,1,S,G
2100050810,3,S,G
2100050811,0,S,R/V
2100050812,9,B,G
2100050813,7,B,G
2100050814,2,S,R
2100050815,8,B,R
2100050816,9,B,G
2100050817,7,B,G
2100050818,7,B,G
2100050819,6,B,R
2100050820,5,B,G/V
2100050821,2,S,R
2100050822,8,B,R
2100050823,5,B,G/V
2100050824,8,B,R
2100050825,6,B,R
2100050826,8,B,R
2100050827,9,B,G
2100050828,9,B,G
2100050829,9,B,G
2100050830,9,B,G
2100050831,7,B,G
2100050832,6,B,R
2100050833,2,S,R
2100050834,6,B,R
2100050835,2,S,R
2100050836,9,B,G
2100050837,5,B,G/V
2100050838,4,S,R
2100050839,7,B,G
2100050840,8,B,R
2100050841,7,B,G
2100050842,2,S,R
2100050843,7,B,G
2100050844,6,B,R
2100050845,7,B,G
2100050846,2,S,R
2100050847,2,S,R
2100050848,2,S,R
2100050849,0,S,R/V
2100050850,9,B,G
2100050851,7,B,G
2100050852,1,S,G
2100050853,0,S,R/V
2100050854,7,B,G
2100050855,9,B,G
2100050856,7,B,G
2100050857,5,B,G/V
2100050858,7,B,G
2100050859,3,S,G
2100050860,4,S,R
2100050861,5,B,G/V
2100050862,0,S,R/V
2100050863,9,B,G
2100050864,6,B,R
2100050865,6,B,R
2100050866,6,B,R
2100050867,9,B,G
2100050868,3,S,G
2100050869,6,B,R
2100050870,5,B,G/V
2100050871,5,B,G/V
2100050872,2,S,R
2100050873,1,S,G
2100050874,0,S,R/V
2100050875,7,B,G
2100050876,9,B,G
2100050877,2,S,R
2100050878,5,B,G/V
2100050879,7,B,G
2100050880,0,S,R/V
2100050881,4,S,R
2100050882,2,S,R
2100050883,0,S,R/V
2100050884,5,B,G/V
2100050885,0,S,R/V
2100050886,8,B,R
2100050887,1,S,G
2100050888,5,B,G/V
2100050889,4,S,R
2100050890,6,B,R
2100050891,2,S,R
2100050892,0,S,R/V
2100050893,6,B,R
2100050894,5,B,G/V
2100050895,3,S,G
2100050896,9,B,G
2100050897,4,S,R
2100050898,9,B,G
2100050899,0,S,R/V
2100050900,5,B,G/V
2100050901,1,S,G
2100050902,2,S,R
2100050903,6,B,R
2100050904,7,B,G
2100050905,4,S,R
2100050906,3,S,G
2100050907,9,B,G
2100050908,3,S,G
2100050909,1,S,G
2100050910,1,S,G
2100050911,8,B,R
2100050912,8,B,R
2100050913,7,B,G
2100050914,4,S,R
2100050915,6,B,R
2100050916,1,S,G
2100050917,8,B,R
2100050918,1,S,G
2100050919,6,B,R
2100050920,6,B,R
2100050921,0,S,R/V
2100050922,2,S,R
2100050923,9,B,G
2100050924,8,B,R
2100050925,5,B,G/V
2100050926,9,B,G
2100050927,9,B,G
2100050928,4,S,R
2100050929,4,S,R
2100050930,3,S,G
2100050931,7,B,G
2100050932,1,S,G
2100050933,7,B,G
2100050934,4,S,R
2100050935,7,B,G
2100050936,2,S,R
2100050937,5,B,G/V
2100050938,1,S,G
2100050939,7,B,G
2100050940,2,S,R
2100050941,7,B,G
2100050942,4,S,R
2100050943,8,B,R
2100050944,4,S,R
2100050945,1,S,G
2100050946,0,S,R/V
2100050947,1,S,G
2100050948,4,S,R
2100050949,7,B,G
2100050950,7,B,G
2100050951,4,S,R
2100050952,2,S,R
2100050953,3,S,G
2100050954,4,S,R
2100050955,3,S,G
2100050956,0,S,R/V
2100050957,1,S,G
2100050958,6,B,R
2100050959,8,B,R
2100050960,0,S,R/V
2100050961,5,B,G/V
2100050962,8,B,R
2100050963,3,S,G
2100050964,3,S,G
2100050965,9,B,G
2100050966,6,B,R
2100050967,5,B,G/V
2100050968,1,S,G
2100050969,3,S,G
2100050970,8,B,R
2100050971,6,B,R
2100050972,3,S,G
2100050973,7,B,G
2100050974,7,B,G
2100050975,1,S,G
2100050976,6,B,R
2100050977,3,S,G
2100050978,7,B,G
2100050979,2,S,R
2100050980,1,S,G
2100050981,7,B,G
2100050982,7,B,G
2100050983,2,S,R
2100050984,5,B,G/V
2100050985,7,B,G
2100050986,2,S,R
2100050987,0,S,R/V
2100050988,6,B,R
2100050989,1,S,G
2100050990,4,S,R
2100050991,6,B,R
2100050992,9,B,G
2100050993,5,B,G/V
2100050994,8,B,R
2100050995,6,B,R
2100050996,8,B,R
2100050997,2,S,R
2100050998,6,B,R
2100050999,9,B,G
2100051000,0,S,R/V
2100051001,4,S,R
2100051002,3,S,G
2100051003,8,B,R
2100051004,5,B,G/V
2100051005,2,S,R
2100051006,6,B,R
2100051007,4,S,R
2100051008,3,S,G
2100051009,1,S,G
2100051010,5,B,G/V
2100051011,4,S,R
2100051012,5,B,G/V
2100051013,9,B,G
2100051014,9,B,G
2100051015,2,S,R
2100051016,2,S,R
2100051017,8,B,R
2100051018,7,B,G
2100051019,2,S,R
2100051020,3,S,G
2100051021,1,S,G
2100051022,1,S,G
2100051023,0,S,R/V
2100051024,6,B,R
2100051025,5,B,G/V
2100051026,0,S,R/V
2100051027,6,B,R
2100051028,2,S,R
2100051029,6,B,R
2100051030,8,B,R
2100051031,4,S,R
2100051032,8,B,R
2100051033,4,S,R
2100051034,4,S,R
2100051035,9,B,G
2100051036,6,B,R
2100051037,9,B,G
2100051038,2,S,R
2100051039,2,S,R
2100051040,3,S,G
2100051041,0,S,R/V
2100051042,6,B,R
2100051043,0,S,R/V
2100051044,3,S,G
2100051045,7,B,G
2100051046,1,S,G
2100051047,6,B,R
2100051048,6,B,R
2100051049,1,S,G
2100051050,4,S,R
2100051051,3,S,G
2100051052,1,S,G
2100051053,0,S,R/V
2100051054,4,S,R
2100051055,5,B,G/V
2100051056,0,S,R/V
2100051057,1,S,G
2100051058,2,S,R
2100051059,2,S,R
2100051060,6,B,R
2100051061,0,S,R/V
2100051062,7,B,G
2100051063,6,B,R
2100051064,9,B,G
2100051065,5,B,G/V
2100051066,0,S,R/V
2100051067,3,S,G
2100051068,7,B,G
2100051069,5,B,G/V
2100051070,5,B,G/V
2100051071,8,B,R
2100051072,5,B,G/V
2100051073,3,S,G
2100051074,8,B,R
2100051075,4,S,R
2100051076,6,B,R
2100051077,6,B,R
2100051078,0,S,R/V
2100051079,2,S,R
2100051080,8,B,R
2100051081,1,S,G
2100051082,8,B,R
2100051083,9,B,G
2100051084,1,S,G
2100051085,8,B,R
2100051086,1,S,G
2100051087,1,S,G
2100051088,0,S,R/V
2100051089,2,S,R
2100051090,2,S,R
2100051091,7,B,G
2100051092,2,S,R
2100051093,0,S,R/V
2100051094,8,B,R
2100051095,4,S,R
2100051096,9,B,G
2100051097,1,S,G
2100051098,6,B,R
2100051099,2,S,R
2100051100,2,S,R
2100051101,1,S,G
2100051102,7,B,G
2100051103,6,B,R
2100051104,5,B,G/V
2100051105,0,S,R/V
2100051106,6,B,R
2100051107,7,B,G
2100051108,3,S,G
2100051109,5,B,G/V
2100051110,7,B,G
2100051111,3,S,G
2100051112,2,S,R
2100051113,0,S,R/V
2100051114,7,B,G
2100051115,0,S,R/V
2100051116,8,B,R
2100051117,8,B,R
2100051118,9,B,G
2100051119,0,S,R/V
2100051120,5,B,G/V
2100051121,5,B,G/V
2100051122,7,B,G
2100051123,9,B,G
2100051124,3,S,G
2100051125,6,B,R
2100051126,0,S,R/V
2100051127,7,B,G
2100051128,2,S,R
2100051129,1,S,G
2100051130,0,S,R/V
2100051131,5,B,G/V
2100051132,6,B,R
2100051133,4,S,R
2100051134,3,S,G
2100051135,6,B,R
2100051136,4,S,R
2100051137,2,S,R
2100051138,7,B,G
2100051139,8,B,R
2100051140,5,B,G/V
2100051141,6,B,R
2100051142,5,B,G/V
2100051143,7,B,G
2100051144,8,B,R
2100051145,6,B,R
2100051146,5,B,G/V
2100051147,0,S,R/V
2100051148,4,S,R
2100051149,5,B,G/V
2100051150,6,B,R
2100051151,2,S,R
2100051152,1,S,G
2100051153,5,B,G/V
2100051154,8,B,R
2100051155,4,S,R
2100051156,7,B,G
2100051157,4,S,R
2100051158,7,B,G
2100051159,9,B,G
2100051160,1,S,G
2100051161,1,S,G
2100051162,4,S,R
2100051163,2,S,R
2100051164,7,B,G
2100051165,0,S,R/V
2100051166,9,B,G
2100051167,4,S,R
2100051168,9,B,G
2100051169,1,S,G
2100051170,6,B,R
