Ser No,0 to 9,B/S,R/G
18100052628,6,B,R
18100052629,6,B,R
18100052630,2,S,R
18100052631,6,B,R
18100052632,7,B,G
18100052633,7,B,G
18100052634,3,S,G
18100052635,0,S,R
18100052636,7,B,G
18100052637,3,S,G
18100052638,8,B,R
18100052639,4,S,R
18100052640,1,S,G
18100052641,4,S,R
18100052642,4,S,R
18100052643,5,B,G
18100052644,2,S,R
18100052645,3,S,G
18100052646,5,B,G
18100052647,9,B,G
18100052648,9,B,G
18100052649,2,S,R
18100052650,9,B,G
18100052651,1,S,G
18100052652,2,S,R
18100052653,0,S,R
18100052654,2,S,R
18100052655,0,S,R
18100052656,7,B,G
18100052657,6,B,R
18100052658,3,S,G
18100052659,4,S,R
18100052660,7,B,G
18100052661,3,S,G
18100052662,5,B,G
18100052663,3,S,G
18100052664,7,B,G
18100052665,5,B,G
18100052666,3,S,G
18100052667,9,B,G
18100052668,9,B,G
18100052669,9,B,G
18100052670,1,S,G
18100052671,6,B,R
18100052672,6,B,R
18100052673,9,B,G
18100052674,1,S,G
18100052675,1,S,G
18100052676,0,S,R
18100052677,8,B,R
18100052678,7,B,G
18100052679,3,S,G
18100052680,7,B,G
18100052681,6,B,R
18100052682,6,B,R
18100052683,7,B,G
18100052684,5,B,G
18100052685,8,B,R
18100052686,6,B,R
18100052687,8,B,R
18100052688,6,B,R
18100052689,6,B,R
18100052690,8,B,R
18100052691,2,S,R
18100052692,1,S,G
18100052693,5,B,G
18100052694,3,S,G
18100052695,1,S,G
18100052696,4,S,R
18100052697,9,B,G
18100052698,8,B,R
18100052699,3,S,G
18100052700,3,S,G
18100052701,8,B,R
18100052702,4,S,R
18100052703,8,B,R
18100052704,9,B,G
18100052705,2,S,R
18100052706,2,S,R
18100052707,2,S,R
18100052708,7,B,G
18100052709,3,S,G
18100052710,7,B,G
18100052711,0,S,R
18100052712,7,B,G
18100052713,6,B,R
18100052714,6,B,R
18100052715,3,S,G
18100052716,8,B,R
18100052717,5,B,G
18100052718,1,S,G
18100052719,1,S,G
18100052720,7,B,G
18100052721,6,B,R
18100052722,8,B,R
18100052723,3,S,G
18100052724,2,S,R
18100052725,8,B,R
18100052726,4,S,R
18100052727,7,B,G
18100052728,4,S,R
18100052729,6,B,R
18100052730,1,S,G
18100052731,8,B,R
18100052732,9,B,G
18100052733,2,S,R
18100052734,1,S,G
18100052735,2,S,R
18100052736,8,B,R
18100052737,8,B,R
18100052738,2,S,R
18100052739,8,B,R
18100052740,1,S,G
18100052741,0,S,R
18100052742,8,B,R
18100052743,8,B,R
18100052744,9,B,G
18100052745,4,S,R
18100052746,4,S,R
18100052747,9,B,G
18100052748,6,B,R
18100052749,3,S,G
18100052750,1,S,G
18100052751,8,B,R
18100052752,4,S,R
18100052753,5,B,G
18100052754,9,B,G
18100052755,0,S,R
18100052756,5,B,G
18100052757,4,S,R
18100052758,9,B,G
18100052759,4,S,R
18100052760,8,B,R
18100052761,3,S,G
18100052762,4,S,R
18100052763,0,S,R
18100052764,6,B,R
18100052765,3,S,G
18100052766,7,B,G
18100052767,3,S,G
18100052768,2,S,R
18100052769,3,S,G
18100052770,0,S,R
18100052771,1,S,G
18100052772,8,B,R
18100052773,6,B,R
18100052774,1,S,G
18100052775,2,S,R
18100052776,4,S,R
18100052777,7,B,G
18100052778,8,B,R
18100052779,4,S,R
18100052780,5,B,G
18100052781,5,B,G
18100052782,6,B,R
18100052783,2,S,R
18100052784,7,B,G
18100052785,5,B,G
18100052786,8,B,R
18100052787,1,S,G
18100052788,3,S,G
18100052789,4,S,R
18100052790,5,B,G
18100052791,8,B,R
18100052792,6,B,R
18100052793,8,B,R
18100052794,4,S,R
18100052795,5,B,G
18100052796,2,S,R
18100052797,6,B,R
18100052798,6,B,R
18100052799,5,B,G
18100052800,8,B,R
18100052801,4,S,R
18100052802,0,S,R
18100052803,0,S,R
18100052804,0,S,R
18100052805,5,B,G
18100052806,6,B,R
18100052807,4,S,R
18100052808,0,S,R
18100052809,4,S,R
18100052810,2,S,R
18100052811,3,S,G
18100052812,6,B,R
18100052813,2,S,R
18100052814,0,S,R
18100052815,3,S,G
18100052816,4,S,R
18100052817,6,B,R
18100052818,5,B,G
18100052819,9,B,G
18100052820,0,S,R
18100052821,9,B,G
18100052822,7,B,G
18100052823,3,S,G
18100052824,5,B,G
18100052825,8,B,R
18100052826,0,S,R
18100052827,6,B,R
18100052828,5,B,G
18100052829,8,B,R
18100052830,0,S,R
18100052831,8,B,R
18100052832,6,B,R
18100052833,4,S,R
18100052834,0,S,R
18100052835,5,B,G
18100052836,9,B,G
18100052837,7,B,G
18100052838,5,B,G
18100052839,1,S,G
18100052840,9,B,G
18100052841,6,B,R
18100052842,8,B,R
18100052843,6,B,R
18100052844,2,S,R
18100052845,3,S,G
18100052846,8,B,R
18100052847,7,B,G
18100052848,5,B,G
18100052849,2,S,R
18100052850,8,B,R
18100052851,0,S,R
18100052852,2,S,R
18100052853,1,S,G
18100052854,2,S,R
18100052855,5,B,G
18100052856,8,B,R
18100052857,4,S,R
18100052858,3,S,G
18100052859,5,B,G
18100052860,6,B,R
18100052861,6,B,R
18100052862,1,S,G
18100052863,3,S,G
18100052864,6,B,R
18100052865,0,S,R
18100052866,4,S,R
18100052867,5,B,G
18100052868,0,S,R
18100052869,8,B,R
18100052870,5,B,G
18100052871,9,B,G
18100052872,4,S,R
18100052873,5,B,G
18100052874,8,B,R
18100052875,6,B,R
18100052876,8,B,R
18100052877,4,S,R
18100052878,2,S,R
18100052879,5,B,G
18100052880,7,B,G
19100050001,3,S,G
19100050002,9,B,G
19100050003,0,S,R
19100050004,8,B,R
19100050005,2,S,R
19100050006,8,B,R
19100050007,3,S,G
19100050008,1,S,G
19100050009,5,B,G
19100050010,6,B,R
19100050011,2,S,R
19100050012,0,S,R
19100050013,6,B,R
19100050014,4,S,R
19100050015,6,B,R
19100050016,2,S,R
19100050017,3,S,G
19100050018,5,B,G
19100050019,3,S,G
19100050020,5,B,G
19100050021,3,S,G
19100050022,3,S,G
19100050023,9,B,G
19100050024,1,S,G
19100050025,9,B,G
19100050026,7,B,G
19100050027,1,S,G
19100050028,8,B,R
19100050029,6,B,R
19100050030,8,B,R
19100050031,7,B,G
19100050032,4,S,R
19100050033,7,B,G
19100050034,8,B,R
19100050035,3,S,G
19100050036,7,B,G
19100050037,2,S,R
19100050038,5,B,G
19100050039,4,S,R
19100050040,4,S,R
19100050041,0,S,R
19100050042,4,S,R
19100050043,2,S,R
19100050044,4,S,R
19100050045,2,S,R
19100050046,2,S,R
19100050047,6,B,R
19100050048,5,B,G
19100050049,5,B,G
19100050050,9,B,G
19100050051,9,B,G
19100050052,4,S,R
19100050053,5,B,G
19100050054,1,S,G
19100050055,8,B,R
19100050056,8,B,R
19100050057,5,B,G
19100050058,6,B,R
19100050059,9,B,G
19100050060,7,B,G
19100050061,1,S,G
19100050062,7,B,G
19100050063,8,B,R
19100050064,5,B,G
19100050065,5,B,G
19100050066,4,S,R
19100050067,0,S,R
19100050068,0,S,R
19100050069,0,S,R
19100050070,7,B,G
19100050071,8,B,R
19100050072,3,S,G
19100050073,4,S,R
19100050074,7,B,G
19100050075,3,S,G
19100050076,8,B,R
19100050077,6,B,R
19100050078,5,B,G
19100050079,2,S,R
19100050080,5,B,G
19100050081,1,S,G
19100050082,1,S,G
19100050083,4,S,R
19100050084,8,B,R
19100050085,0,S,R
19100050086,7,B,G
19100050087,4,S,R
19100050088,6,B,R
19100050089,6,B,R
19100050090,1,S,G
19100050091,4,S,R
19100050092,7,B,G
19100050093,9,B,G
19100050094,1,S,G
19100050095,4,S,R
19100050096,9,B,G
19100050097,2,S,R
19100050098,0,S,R
19100050099,8,B,R
19100050100,9,B,G
19100050101,4,S,R
19100050102,4,S,R
19100050103,1,S,G
19100050104,6,B,R
19100050105,9,B,G
19100050106,9,B,G
19100050107,4,S,R
19100050108,6,B,R
19100050109,0,S,R
19100050110,5,B,G
19100050111,0,S,R
19100050112,8,B,R
19100050113,0,S,R
19100050114,1,S,G
19100050115,3,S,G
19100050116,7,B,G
19100050117,6,B,R
19100050118,6,B,R
19100050119,8,B,R
19100050120,5,B,G
19100050121,4,S,R
19100050122,1,S,G
19100050123,9,B,G
19100050124,0,S,R
19100050125,1,S,G
19100050126,1,S,G
19100050127,9,B,G
19100050128,9,B,G
19100050129,2,S,R
19100050130,8,B,R
19100050131,7,B,G
19100050132,2,S,R
19100050133,9,B,G
19100050134,9,B,G
19100050135,3,S,G
19100050136,9,B,G
19100050137,1,S,G
19100050138,6,B,R
19100050139,8,B,R
19100050140,9,B,G
19100050141,4,S,R
19100050142,1,S,G
19100050143,6,B,R
19100050144,3,S,G
19100050145,9,B,G
19100050146,1,S,G
19100050147,7,B,G
19100050148,6,B,R
19100050149,8,B,R
19100050150,2,S,R
19100050151,0,S,R
19100050152,6,B,R
19100050153,3,S,G
19100050154,1,S,G
19100050155,4,S,R
19100050156,9,B,G
19100050157,6,B,R
19100050158,8,B,R
19100050159,5,B,G
19100050160,1,S,G
19100050161,8,B,R
19100050162,5,B,G
19100050163,2,S,R
19100050164,3,S,G
19100050165,4,S,R
19100050166,7,B,G
19100050167,3,S,G
19100050168,7,B,G
19100050169,2,S,R
19100050170,0,S,R
19100050171,6,B,R
19100050172,5,B,G
19100050173,9,B,G
19100050174,0,S,R
19100050175,1,S,G
19100050176,8,B,R
19100050177,7,B,G
19100050178,0,S,R
19100050179,8,B,R
19100050180,7,B,G
19100050181,9,B,G
19100050182,6,B,R
19100050183,7,B,G
19100050184,6,B,R
19100050210,6,B,R
19100050211,5,B,G
19100050212,4,S,R
19100050213,1,S,G
19100050214,6,B,R
19100050215,0,S,R
19100050216,6,B,R
19100050217,7,B,G
19100050218,6,B,R
19100050219,0,S,R
19100050220,7,B,G
19100050221,4,S,R
19100050222,1,S,G
19100050223,7,B,G
19100050224,8,B,R
19100050225,1,S,G
19100050226,2,S,R
19100050227,4,S,R
19100050228,0,S,R
19100050229,9,B,G
19100050230,2,S,R
19100050231,2,S,R
19100050232,0,S,R
19100050233,0,S,R
19100050234,0,S,R
19100050235,9,B,G
19100050236,5,B,G
19100050237,2,S,R
19100050238,7,B,G
19100050239,9,B,G
19100050240,5,B,G
19100050241,8,B,R
19100050242,9,B,G
19100050243,8,B,R
19100050244,4,S,R
19100050245,5,B,G
19100050246,1,S,G
19100050247,8,B,R
19100050248,4,S,R
19100050249,4,S,R
19100050250,7,B,G
19100050251,6,B,R
19100050252,0,S,R
19100050253,8,B,R
19100050254,0,S,R
19100050255,4,S,R
19100050256,8,B,R
19100050257,1,S,G
19100050258,9,B,G
19100050259,7,B,G
19100050260,8,B,R
19100050261,8,B,R
19100050262,4,S,R
19100050263,1,S,G
19100050264,2,S,R
19100050265,9,B,G
19100050266,1,S,G
19100050267,8,B,R
19100050268,5,B,G
19100050269,3,S,G
19100050270,1,S,G
19100050271,2,S,R
19100050272,8,B,R
19100050273,1,S,G
19100050274,7,B,G
19100050275,3,S,G
19100050276,1,S,G
19100050277,5,B,G
19100050278,7,B,G
19100050279,1,S,G
19100050280,4,S,R
19100050281,5,B,G
19100050282,2,S,R
19100050283,5,B,G
19100050284,8,B,R
19100050285,3,S,G
19100050286,8,B,R
19100050287,0,S,R
19100050288,7,B,G
19100050289,2,S,R
19100050290,1,S,G
19100050291,7,B,G
19100050292,1,S,G
19100050293,6,B,R
19100050294,7,B,G
19100050295,7,B,G
19100050296,4,S,R
19100050297,3,S,G
19100050298,7,B,G
19100050299,1,S,G
19100050300,5,B,G
19100050301,9,B,G
19100050302,1,S,G
19100050303,0,S,R
19100050304,3,S,G
19100050305,9,B,G
19100050306,8,B,R
19100050307,7,B,G
19100050308,9,B,G
19100050309,2,S,R
19100050310,3,S,G
19100050311,2,S,R
19100050312,0,S,R
19100050313,6,B,R
19100050314,8,B,R
19100050315,9,B,G
19100050316,0,S,R
19100050317,4,S,R
19100050318,0,S,R
19100050319,8,B,R
19100050320,7,B,G
19100050321,8,B,R
19100050322,9,B,G
19100050323,8,B,R
19100050324,7,B,G
19100050325,4,S,R
19100050326,2,S,R
19100050327,9,B,G
19100050328,9,B,G
19100050329,3,S,G
19100050330,2,S,R
19100050331,1,S,G
19100050332,4,S,R
19100050333,1,S,G
19100050334,9,B,G
19100050335,3,S,G
19100050336,9,B,G
19100050337,2,S,R
19100050338,6,B,R
19100050339,9,B,G
19100050340,1,S,G
19100050341,4,S,R
19100050342,1,S,G
19100050343,6,B,R
19100050344,3,S,G
19100050345,7,B,G
19100050346,9,B,G
19100050347,5,B,G
19100050348,9,B,G
19100050349,4,S,R
19100050350,8,B,R
19100050351,5,B,G
19100050352,9,B,G
19100050353,5,B,G
19100050354,3,S,G
19100050355,6,B,R
19100050356,3,S,G
19100050357,5,B,G
19100050358,7,B,G
19100050359,1,S,G
19100050360,3,S,G
19100050361,9,B,G
19100050362,3,S,G
19100050363,3,S,G
19100050364,5,B,G
19100050365,8,B,R
19100050366,6,B,R
19100050367,4,S,R
19100050368,8,B,R
19100050369,9,B,G
19100050370,4,S,R
19100050371,9,B,G
19100050372,9,B,G
19100050373,1,S,G
19100050374,4,S,R
19100050375,6,B,R
19100050376,7,B,G
19100050377,4,S,R
19100050378,7,B,G
19100050379,5,B,G
19100050380,1,S,G
19100050381,1,S,G
19100050382,9,B,G
19100050383,9,B,G
19100050384,4,S,R
19100050385,8,B,R
19100050386,5,B,G
19100050387,4,S,R
19100050388,9,B,G
19100050389,2,S,R
19100050390,4,S,R
19100050391,8,B,R
19100050392,4,S,R
19100050393,9,B,G
19100050394,9,B,G
19100050395,2,S,R
19100050396,9,B,G
19100050397,0,S,R
19100050398,1,S,G
19100050399,2,S,R
19100050400,7,B,G
19100050401,2,S,R
19100050402,2,S,R
19100050403,6,B,R
19100050404,6,B,R
19100050405,5,B,G
19100050406,2,S,R
19100050407,9,B,G
19100050408,5,B,G
19100050409,7,B,G
19100050410,3,S,G
19100050411,5,B,G
19100050412,6,B,R
19100050413,9,B,G
19100050414,5,B,G
19100050415,8,B,R
19100050416,1,S,G
19100050417,5,B,G
19100050418,1,S,G
19100050419,4,S,R
19100050420,6,B,R
19100050421,3,S,G
19100050422,8,B,R
19100050423,7,B,G
19100050424,9,B,G
19100050425,2,S,R
19100050426,6,B,R
19100050427,1,S,G
19100050428,9,B,G
19100050429,4,S,R
19100050430,7,B,G
19100050431,2,S,R
19100050432,8,B,R
19100050433,0,S,R
19100050434,7,B,G
19100050435,7,B,G
19100050436,8,B,R
19100050437,9,B,G
19100050438,6,B,R
19100050439,1,S,G
19100050440,7,B,G
19100050441,9,B,G
19100050442,5,B,G
19100050443,5,B,G
19100050444,2,S,R
19100050445,3,S,G
19100050446,3,S,G
19100050447,6,B,R
19100050448,0,S,R
19100050449,2,S,R
19100050450,5,B,G
19100050451,0,S,R
19100050452,8,B,R
19100050453,3,S,G
19100050454,2,S,R
19100050455,0,S,R
19100050456,7,B,G
19100050457,7,B,G
19100050458,8,B,R
19100050459,9,B,G
19100050460,9,B,G
19100050461,8,B,R
19100050462,5,B,G
19100050463,1,S,G
19100050464,0,S,R
19100050465,0,S,R
19100050466,1,S,G
19100050467,2,S,R
19100050468,0,S,R
19100050469,2,S,R
19100050470,1,S,G
19100050471,3,S,G
19100050472,2,S,R
19100050473,2,S,R
19100050474,3,S,G
19100050475,0,S,R
19100050476,8,B,R
19100050477,4,S,R
19100050478,3,S,G
19100050479,1,S,G
19100050480,4,S,R
19100050481,3,S,G
19100050482,6,B,R
19100050483,7,B,G
19100050484,1,S,G
19100050485,3,S,G
19100050486,9,B,G
19100050487,2,S,R
19100050488,0,S,R
19100050489,0,S,R
19100050490,5,B,G
19100050491,4,S,R
19100050492,5,B,G
19100050493,4,S,R
19100050494,0,S,R
19100050495,9,B,G
19100050496,3,S,G
19100050497,1,S,G
19100050498,7,B,G
19100050499,6,B,R
19100050500,7,B,G
19100050501,0,S,R
19100050502,5,B,G
19100050503,6,B,R
19100050504,3,S,G
19100050505,9,B,G
19100050506,7,B,G
19100050507,5,B,G
19100050508,0,S,R
19100050509,8,B,R
19100050510,9,B,G
19100050511,7,B,G
19100050512,1,S,G
19100050513,5,B,G
19100050514,8,B,R
19100050515,3,S,G
19100050516,1,S,G
19100050517,5,B,G
19100050518,8,B,R
19100050519,5,B,G
19100050520,7,B,G
19100050521,1,S,G
19100050522,4,S,R
19100050523,2,S,R
19100050524,0,S,R
19100050525,1,S,G
19100050526,1,S,G
19100050527,7,B,G
19100050528,7,B,G
19100050529,5,B,G
19100050530,8,B,R
19100050531,4,S,R
19100050532,8,B,R
19100050533,6,B,R
19100050534,0,S,R
19100050535,6,B,R
19100050536,9,B,G
19100050537,6,B,R
19100050538,5,B,G
19100050539,6,B,R
19100050540,5,B,G
19100050541,9,B,G
19100050542,2,S,R
19100050543,0,S,R
19100050544,5,B,G
19100050545,6,B,R
19100050546,3,S,G
19100050547,1,S,G
19100050548,6,B,R
19100050549,6,B,R
19100050550,2,S,R
19100050551,5,B,G
19100050552,4,S,R
19100050553,9,B,G
19100050554,7,B,G
19100050555,2,S,R
19100050556,8,B,R
19100050557,7,B,G
19100050558,6,B,R
19100050559,3,S,G
19100050560,8,B,R
19100050561,4,S,R
19100050562,4,S,R
19100050563,8,B,R
19100050564,3,S,G
19100050565,7,B,G
19100050566,1,S,G
19100050567,4,S,R
19100050568,4,S,R
19100050569,7,B,G
19100050570,5,B,G
19100050571,1,S,G
19100050572,0,S,R
19100050573,3,S,G
19100050574,8,B,R
19100050575,5,B,G
19100050576,7,B,G
19100050577,9,B,G
19100050578,4,S,R
19100050579,9,B,G
19100050580,2,S,R
19100050581,0,S,R
19100050582,3,S,G
19100050583,0,S,R
19100050584,1,S,G
19100050585,3,S,G
19100050586,3,S,G
19100050587,8,B,R
19100050588,0,S,R
19100050589,4,S,R
19100050590,5,B,G
19100050591,9,B,G
19100050592,5,B,G
19100050593,2,S,R
19100050594,7,B,G
19100050595,9,B,G
19100050596,7,B,G
19100050597,5,B,G
19100050598,0,S,R
19100050599,9,B,G
19100050600,0,S,R
19100050601,2,S,R
19100050602,4,S,R
19100050603,9,B,G
19100050604,9,B,G
19100050605,9,B,G
19100050606,9,B,G
19100050607,2,S,R
19100050608,9,B,G
19100050609,0,S,R
19100050610,0,S,R
19100050611,9,B,G
19100050612,5,B,G
19100050613,9,B,G
19100050614,3,S,G
19100050615,8,B,R
19100050616,8,B,R
19100050617,3,S,G
19100050618,4,S,R
19100050619,5,B,G
19100050620,9,B,G
19100050621,3,S,G
19100050622,7,B,G
19100050623,9,B,G
19100050624,7,B,G
19100050625,4,S,R
19100050626,4,S,R
19100050627,5,B,G
19100050628,8,B,R
19100050629,9,B,G
19100050630,3,S,G
19100050631,2,S,R
19100050632,8,B,R
19100050633,4,S,R
19100050634,1,S,G
19100050635,2,S,R
19100050636,9,B,G
19100050637,4,S,R
19100050638,7,B,G
19100050639,6,B,R
19100050640,7,B,G
19100050641,0,S,R
19100050642,8,B,R
19100050643,0,S,R
19100050644,0,S,R
19100050645,6,B,R
19100050646,1,S,G
19100050647,9,B,G
19100050648,4,S,R
19100050649,3,S,G
19100050650,9,B,G
19100050651,4,S,R
19100050652,6,B,R
19100050653,6,B,R
19100050654,9,B,G
19100050655,0,S,R
19100050656,8,B,R
19100050657,9,B,G
19100050658,6,B,R
19100050659,1,S,G
19100050660,0,S,R
19100050661,6,B,R
19100050662,3,S,G
19100050663,9,B,G
19100050664,0,S,R
19100050665,4,S,R
19100050666,5,B,G
19100050667,8,B,R
19100050668,6,B,R
19100050669,9,B,G
19100050670,4,S,R
19100050671,1,S,G
19100050672,1,S,G
19100050673,3,S,G
19100050674,8,B,R
19100050675,7,B,G
19100050676,5,B,G
19100050677,7,B,G
19100050678,7,B,G
19100050679,8,B,R
19100050680,4,S,R
19100050681,1,S,G
19100050682,4,S,R
19100050683,1,S,G
19100050684,8,B,R
19100050685,3,S,G
19100050686,5,B,G
19100050687,2,S,R
19100050688,1,S,G
19100050689,8,B,R
19100050690,5,B,G
19100050691,4,S,R
19100050692,4,S,R
19100050693,4,S,R
19100050694,1,S,G
19100050695,9,B,G
19100050696,7,B,G
19100050697,4,S,R
19100050698,6,B,R
19100050699,4,S,R
19100050700,4,S,R
19100050701,3,S,G
19100050702,5,B,G
19100050703,3,S,G
19100050704,7,B,G
19100050705,8,B,R
19100050706,7,B,G
19100050707,3,S,G
19100050708,2,S,R
19100050709,5,B,G
19100050710,3,S,G
19100050711,7,B,G
19100050712,1,S,G
19100050713,4,S,R
19100050714,8,B,R
19100050715,2,S,R
19100050716,0,S,R
19100050717,8,B,R
19100050718,7,B,G
19100050719,0,S,R
19100050720,6,B,R
19100050721,8,B,R
19100050722,5,B,G
19100050723,3,S,G
19100050724,3,S,G
19100050725,1,S,G
19100050726,2,S,R
19100050727,7,B,G
19100050728,4,S,R
19100050729,0,S,R
19100050730,6,B,R
19100050731,4,S,R
19100050732,4,S,R
19100050733,7,B,G
19100050734,0,S,R
19100050735,2,S,R
19100050736,3,S,G
19100050737,0,S,R
19100050738,2,S,R
19100050739,3,S,G
19100050740,2,S,R
19100050741,6,B,R
19100050742,1,S,G
19100050743,8,B,R
19100050744,1,S,G
19100050745,5,B,G
19100050746,1,S,G
19100050747,4,S,R
19100050748,2,S,R
19100050749,8,B,R
19100050750,8,B,R
19100050751,9,B,G
19100050752,7,B,G
19100050753,9,B,G
19100050754,4,S,R
19100050755,3,S,G
19100050756,0,S,R
19100050757,8,B,R
19100050758,6,B,R
19100050759,6,B,R
19100050760,1,S,G
19100050761,1,S,G
19100050762,3,S,G
19100050763,5,B,G
19100050764,7,B,G
19100050765,8,B,R
19100050766,5,B,G
19100050767,0,S,R
19100050768,7,B,G
19100050769,9,B,G
19100050770,3,S,G
19100050771,4,S,R
19100050772,6,B,R
19100050773,1,S,G
19100050774,3,S,G
19100050775,6,B,R
19100050776,2,S,R
19100050777,9,B,G
19100050778,8,B,R
19100050779,2,S,R
19100050780,4,S,R
19100050781,7,B,G
19100050782,9,B,G
19100050783,6,B,R
19100050784,3,S,G
19100050785,2,S,R
19100050786,3,S,G
19100050787,3,S,G
19100050788,1,S,G
19100050789,0,S,R
19100050790,9,B,G
19100050791,1,S,G
19100050792,5,B,G
19100050793,2,S,R
19100050794,2,S,R
19100050795,2,S,R
19100050796,1,S,G
19100050797,2,S,R
19100050798,9,B,G
19100050799,7,B,G
19100050800,1,S,G
19100050801,8,B,R
19100050802,6,B,R
19100050803,1,S,G
19100050804,2,S,R
19100050805,4,S,R
19100050806,7,B,G
19100050807,5,B,G
19100050808,0,S,R
19100050809,1,S,G
19100050810,2,S,R
19100050811,5,B,G
19100050812,9,B,G
19100050813,1,S,G
19100050814,4,S,R
19100050815,7,B,G
19100050816,4,S,R
19100050817,7,B,G
19100050818,9,B,G
19100050819,0,S,R
19100050820,5,B,G
19100050821,1,S,G
19100050822,7,B,G
19100050823,7,B,G
19100050824,4,S,R
19100050825,7,B,G
19100050826,5,B,G
19100050827,0,S,R
19100050828,0,S,R
19100050829,6,B,R
19100050830,0,S,R
19100050831,8,B,R
19100050832,9,B,G
19100050833,4,S,R
19100050834,9,B,G
19100050835,9,B,G
19100050836,5,B,G
19100050837,5,B,G
19100050838,2,S,R
19100050839,4,S,R
19100050840,6,B,R
19100050841,0,S,R
19100050842,4,S,R
19100050843,2,S,R
19100050844,0,S,R
19100050845,1,S,G
19100050846,4,S,R
19100050847,1,S,G
19100050848,5,B,G
19100050849,5,B,G
19100050850,5,B,G
19100050851,5,B,G
19100050852,7,B,G
19100050853,5,B,G
19100050854,1,S,G
19100050855,2,S,R
19100050856,4,S,R
19100050857,0,S,R
19100050858,0,S,R
19100050859,8,B,R
19100050860,7,B,G
19100050861,5,B,G
19100050862,1,S,G
19100050863,8,B,R
19100050864,2,S,R
19100050865,4,S,R
19100050866,5,B,G
19100050867,4,S,R
19100050868,6,B,R
19100050869,7,B,G
19100050870,7,B,G
19100050871,0,S,R
19100050872,3,S,G
19100050873,8,B,R
19100050874,2,S,R
19100050875,9,B,G
19100050876,1,S,G
19100050877,4,S,R
19100050878,5,B,G
19100050879,0,S,R
19100050880,3,S,G
19100050881,3,S,G
19100050882,2,S,R
19100050883,3,S,G
19100050884,8,B,R
19100050885,0,S,R
19100050886,0,S,R
19100050887,6,B,R
19100050888,5,B,G
19100050889,9,B,G
19100050890,9,B,G
19100050891,5,B,G
19100050892,8,B,R
19100050893,1,S,G
19100050894,6,B,R
19100050895,6,B,R
19100050896,7,B,G
19100050897,9,B,G
19100050898,8,B,R
19100050899,9,B,G
19100050900,6,B,R
19100050901,9,B,G
19100050902,1,S,G
19100050903,4,S,R
19100050904,6,B,R
19100050905,8,B,R
19100050906,5,B,G
19100050907,1,S,G
19100050908,5,B,G
19100050909,6,B,R
19100050910,5,B,G
19100050911,5,B,G
19100050912,1,S,G
19100050913,5,B,G
19100050914,2,S,R
19100050915,3,S,G
19100050916,9,B,G
19100050917,4,S,R
19100050918,3,S,G
19100050919,6,B,R
19100050920,6,B,R
19100050921,1,S,G
19100050922,1,S,G
19100050923,7,B,G
19100050924,2,S,R
19100050925,9,B,G
19100050926,6,B,R
19100050927,6,B,R
19100050928,5,B,G
19100050929,4,S,R
19100050930,9,B,G
19100050931,1,S,G
19100050932,6,B,R
19100050933,5,B,G
19100050934,4,S,R
19100050935,1,S,G
19100050936,4,S,R
19100050937,0,S,R
19100050938,5,B,G
19100050939,9,B,G
19100050940,0,S,R
19100050941,4,S,R
19100050942,9,B,G
19100050943,3,S,G
19100050944,0,S,R
19100050945,7,B,G
19100050946,3,S,G
19100050947,3,S,G
19100050948,6,B,R
19100050949,9,B,G
19100050950,4,S,R
19100050951,8,B,R
19100050952,1,S,G
19100050953,1,S,G
19100050954,6,B,R
19100050955,0,S,R
19100050956,2,S,R
19100050957,8,B,R
19100050958,5,B,G
19100050959,2,S,R
19100050960,6,B,R
19100050961,7,B,G
19100050962,6,B,R
19100050963,8,B,R
19100050964,3,S,G
19100050965,2,S,R
19100050966,4,S,R
19100050967,9,B,G
19100050968,2,S,R
19100050969,8,B,R
19100050970,5,B,G
19100050971,3,S,G
19100050972,1,S,G
19100050973,9,B,G
19100050974,4,S,R
19100050975,6,B,R
19100050976,2,S,R
19100050977,6,B,R
19100050978,8,B,R
19100050979,1,S,G
19100050980,9,B,G
19100050981,8,B,R
19100050982,9,B,G
19100050983,2,S,R
19100050984,6,B,R
19100050985,0,S,R
19100050986,0,S,R
19100050987,1,S,G
19100050988,2,S,R
19100050989,0,S,R
19100050990,5,B,G
19100050991,0,S,R
19100050992,2,S,R
19100050993,2,S,R
19100050994,3,S,G
19100050995,2,S,R
19100050996,5,B,G
19100050997,4,S,R
19100050998,5,B,G
19100050999,2,S,R
19100051000,7,B,G
19100051001,2,S,R
19100051002,2,S,R
19100051003,4,S,R
19100051004,3,S,G
19100051005,2,S,R
19100051006,6,B,R
19100051007,0,S,R
19100051008,3,S,G
19100051009,1,S,G
19100051010,6,B,R
19100051011,3,S,G
19100051012,9,B,G
19100051013,1,S,G
19100051014,0,S,R
19100051015,1,S,G
19100051016,4,S,R
19100051017,9,B,G
19100051018,6,B,R
19100051019,2,S,R
19100051020,6,B,R
19100051021,6,B,R
19100051022,6,B,R
19100051023,6,B,R
19100051024,8,B,R
19100051025,0,S,R
19100051026,0,S,R
19100051027,3,S,G
19100051028,4,S,R
19100051029,0,S,R
19100051030,0,S,R
19100051031,7,B,G
19100051032,3,S,G
19100051033,7,B,G
19100051034,0,S,R
19100051035,7,B,G
19100051036,3,S,G
19100051037,3,S,G
19100051038,5,B,G
19100051039,5,B,G
19100051040,7,B,G
19100051041,5,B,G
19100051042,4,S,R
19100051043,1,S,G
